"date","lab","BolinaoandAndamid_surface_elevation","BolinaoandAndamid_water_temp_0","BolinaoandAndamid_salinity_0","BolinaoandAndamid_velocity_u_0","BolinaoandAndamid_velocity_v_0","BolinaoandAndabot_surface_elevation","BolinaoandAndabot_water_temp_0","BolinaoandAndabot_salinity_0","BolinaoandAndabot_velocity_u_0","BolinaoandAndabot_velocity_v_0","BolinaoandAndabot_pr_wtr","BolinaoandAndabot_precipitationCal","BolinaoandAndatop_surface_elevation","BolinaoandAndatop_water_temp_0","BolinaoandAndatop_salinity_0","BolinaoandAndatop_velocity_u_0","BolinaoandAndatop_velocity_v_0","BolinaoandAndatop_water_temp_100","BolinaoandAndatop_salinity_100","BolinaoandAndatop_velocity_u_100","BolinaoandAndatop_velocity_v_100"
"2003-03-27",NA,594.857142857143,"14043.2448979592","7031.63265306122",-66.765306122449,130.357142857143,600.792207792208,13884.6233766234,7604.64935064935,-17.1038961038961,68.7272727272727,41.2999992370605,0.0481552657050391,599.666666666667,"13971.869047619","7117.77380952381","-169.904761904762","176.02380952381","14310.4642857143","-656","4.64285714285714","22.75"
"2003-04-03",NA,595.040816326531,"14004.2448979592","7131.76530612245",-67.4897959183673,106.979591836735,600.363636363636,13874.987012987,7764.48051948052,-18.7272727272727,74.1688311688312,36.4928588867188,0.00224698657014718,595.654761904762,"13835.8095238095","7926.70238095238","45.7738095238095","306.47619047619","14340.7023809524","-439.880952380952","82.1309523809524","125.333333333333"
"2003-04-10",NA,615.367346938776,"13955.1326530612","7588.62244897959",-65.1530612244898,104.295918367347,622.909090909091,13849.025974026,8133.19480519481,-15.974025974026,60.0779220779221,39.4464263916016,0.00544964124628677,608.869047619048,"13861.1785714286","8422.97619047619","-42.5","252.238095238095","14269.6785714286","-719.261904761905","22.9285714285714","81.4523809523809"
"2003-04-17",NA,641.724489795918,"13951.887755102","7940.65306122449",1061.68367346939,2113.98979591837,648.584415584416,13847.6883116883,8600.38961038961,1209.87012987013,2045.77922077922,36.6607131958008,0.00323587703678641,651.178571428571,"13929.9761904762","8644.08333333333","1054.72619047619","2088.72619047619","14271.5238095238","661.916666666667","170.833333333333","2031.08333333333"
"2003-04-24",NA,648.683673469388,"13968.5816326531","8367.5612244898",-95.3265306122449,93.9387755102041,658.155844155844,13840.1168831169,8979.44155844156,-18.5974025974026,61.3896103896104,40.521427154541,0.00416192536795279,657.285714285714,"13939.3928571429","8984.55952380952","-239.166666666667","27.952380952381","14332.2142857143","968.77380952381","-110.059523809524","-37.1190476190476"
"2003-05-01",NA,623.234693877551,"13989.5918367347","8578.16326530612",2435.65306122449,4108.19387755102,633.532467532468,13842.3636363636,9410.2987012987,2680.05194805195,4014.44155844156,37.6321411132812,0.047354085293288,631.666666666667,"13973.119047619","8771.29761904762","2465.55952380952","4067.07142857143","14294.4285714286","533.095238095238","76.6428571428571","4043.58333333333"
"2003-05-08",NA,655.102040816327,"14006.8775510204","8981.08163265306",-69.6326530612245,160.867346938776,665.558441558442,13844.9090909091,9767.88311688312,-4.32467532467532,82.9220779220779,38.0571441650391,0.0315145577963752,661.369047619048,"13998.6904761905","9578.32142857143","-192.357142857143","32.6666666666667","14329.3333333333","2158.84523809524","-177.178571428571","-50.2380952380952"
"2003-05-15",NA,668.244897959184,"14025.9183673469","9096.37755102041",-86.2551020408163,210.459183673469,682.714285714286,13834.8311688312,10060.3376623377,-20.8831168831169,94.4415584415584,40.6678581237793,0.0460397552815266,682.797619047619,"14073.8571428571","9448.80952380952","-292.880952380952","105.464285714286","14404.4642857143","2470.09523809524","-151.297619047619","-80.9880952380952"
"2003-05-22",NA,706.295918367347,"14034.2551020408","9026.88775510204",-47.0816326530612,170.265306122449,716.961038961039,13828.1168831169,9870.44155844156,1.06493506493507,87.5064935064935,44.4750022888184,0.370919289688269,715.654761904762,"14072.0119047619","9825.40476190476","-130.988095238095","29.0833333333333","14414.1071428571","3660.45238095238","-113.202380952381","-117.761904761905"
"2003-05-29",NA,753.897959183673,"13976.8673469388","8780.4693877551",-25.969387755102,202.132653061224,763.766233766234,13733.3766233766,9582.15584415584,10.012987012987,110.246753246753,49.1714286804199,3.97579063971837,768.964285714286,"14034.2142857143","9491.7619047619","-72.3571428571429","55.3214285714286","14556.0595238095","4737.21428571429","-62.0476190476191","-54.7261904761905"
