date,tox,toxbi,toxpre,cloud,rain,tempc,salc,veluc,velvc,tempf,salf,veluf,velvf,tempd,sald,velud,velvd
8/18/2011,0,0,0,81.13565826,0.307466657,28.56571429,14441.42857,-56.85714286,-66.5,29.2086369,14390.35119,-544.9583333,-1198.440476,2.325639456,14644.7551,-10.01360544,-25.04081633
8/25/2011,0,0,0,82.32496643,0.494519235,28.93221429,14552.85714,126.2857143,185.2857143,29.08676786,14483.79167,27.875,-392.2321429,2.267482993,14644,-16.37414966,-88.27210884
9/1/2011,0,0,0,71.4606781,0.067375493,27.48414286,14524.35714,40.57142857,80.92857143,28.40705357,14443.93452,-193.2857143,-578.7797619,2.229884354,14637.2381,-18.04081633,-17.61904762
9/8/2011,0,0,0,58.23209,0.0784946,29.02035714,14394.21429,60.14285714,91.28571429,28.90832738,14184.29167,-128.2916667,-615.9761905,2.158768707,14636.43537,-7.972789116,13.78231293
9/15/2011,0,0,0,53.88565445,0.465003444,29.24564286,14162.71429,17.07142857,113.2857143,28.90505952,13899.10714,-160.0059524,-658.2738095,2.167727891,14640.2585,-6.170068027,32.05442177
9/22/2011,0,0,0,83.26422119,0.232922397,29.01557143,14174.71429,63.21428571,59.92857143,28.64193452,14011.44643,7.220238095,-218.8869048,2.166272109,14640.95918,-6.918367347,50.11564626
9/29/2011,0,0,0,62.67494583,0.212896686,28.69414286,14134.64286,65.92857143,26.42857143,28.8427619,13921.92857,-137.0238095,-709.1666667,2.302823129,14645.23129,-1.292517007,9.80952381
10/6/2011,0,0,0,60.38209915,0.289386081,28.73528571,14106.07143,27.28571429,-1.071428571,28.71055952,14016.53571,-348.2321429,-1058.297619,2.292108844,14639.86395,1.775510204,34.83673469
10/13/2011,0,0,0,74.03565216,0.490639061,28.76328571,14008.5,48.14285714,8.285714286,28.6858869,13865.11905,-47.43452381,-487.6011905,2.262884354,14640.59184,8.904761905,-28.74829932
10/20/2011,0,0,0,56.79993439,0.132221035,28.86414286,13928.85714,-117.1428571,-98.64285714,28.84408333,13660.39286,-440.452381,-779.5416667,2.228755102,14642.70068,-5.972789116,-53.85714286
10/27/2011,0,0,0,46.35709,0.013182381,29.05364286,13894.5,-222.5714286,-287.6428571,29.30952381,13586.56548,-490.4404762,-792.6607143,2.23670068,14637.39456,-16.78231293,-58.04761905
11/3/2011,0,0,0,36.77494431,0.258071339,29.39057143,13996.85714,-290.1428571,-348.6428571,29.63125595,13776.39286,-540.6130952,-782.6130952,2.149748299,14634.60544,-2.700680272,-64.05442177
11/10/2011,0,0,0,40.62853241,0.529663619,29.336,14107.42857,-71.57142857,-183.7857143,29.45179167,14142.64286,-352.7321429,-772.9880952,2.147462585,14629.29932,-17.72789116,-45.17687075
11/17/2011,0,0,0,58.59993362,0.251420264,29.04921429,14159.42857,-50.64285714,-129.7857143,29.329625,14167.1131,-304.7619048,-724.6845238,2.194578231,14630.59184,-12.34693878,-61.91836735
11/24/2011,0,0,0,57.6963768,0.21584534,29.06028571,14171.71429,-153.5714286,-225.5714286,28.93467857,13934.10119,-551.7619048,-1185.642857,2.16377551,14628.42857,-6.469387755,-54.91836735
12/1/2011,0,0,0,56.68566895,0.188249963,28.96571429,13832.71429,-181.6428571,-263.3571429,28.98183929,13562.80952,-624.2261905,-1287.744048,2.107782313,14628.21769,-10.31972789,-31.80952381
12/8/2011,0,0,0,70.0428009,0.62099784,28.82907143,13641.92857,-264.2857143,-349.2142857,29.04822619,13482.5119,-708.5654762,-1263.708333,2.137142857,14631.51701,1.673469388,-19.6462585
12/15/2011,0,0,0,55.93922806,0.562124801,28.61821429,13649,-237.8571429,-335.7857143,28.72342262,13642.44643,-574.172619,-884.4880952,2.215782313,14633.37415,0.605442177,-31.57823129
12/22/2011,0,0,0,59.61068344,0.252468918,28.48464286,13781.14286,-148.7142857,-228.1428571,28.57389881,13704.57738,-542.5416667,-1005.267857,2.233591837,14634.41497,-7.673469388,-46.36734694
12/29/2011,0,0,0,61.2321167,1.200394997,28.41885714,13810.5,-182.9285714,-386.5714286,28.43210119,13839.81548,-535.8988095,-1140.035714,2.283952381,14636.72789,-8.06122449,-25.70748299
1/5/2012,0,0,0,76.09281921,0.245964145,28.29592857,13919.57143,-165.8571429,-315,28.54745238,14066.25595,-526.422619,-1060.452381,2.31737415,14636.72109,-4.414965986,-11.75510204
1/12/2012,0,0,0,61.89995575,0.552205539,28.47464286,13979.35714,-278.2857143,-454.5714286,28.48940476,13965.72024,-609.2142857,-1028.511905,2.386027211,14640.42177,-1.095238095,-26.98639456
1/19/2012,0,0,0,68.05352783,0.809937117,28.58642857,14059.5,-258.5,-382.5,28.61014286,14034.41667,-610.2559524,-927.6428571,2.402394558,14632.06122,-11.37414966,-46.89115646
1/26/2012,0,0,0,68.53208923,0.387806638,28.49164286,14016.14286,-240.5714286,-316.0714286,28.3739881,13923.96429,-623.4345238,-1046.041667,2.350081633,14621.85034,-12.19047619,-68.16326531
2/2/2012,0,0,0,71.22853088,0.332117797,28.198,13947.35714,-207.7142857,-302.2142857,28.1398869,13760.05357,-706.375,-1222.255952,2.324503401,14625.82993,-5.088435374,-41.51020408
2/9/2012,0,0,0,83.37853241,0.235422704,28.17178571,13847.71429,-168.5714286,-285.0714286,28.1593869,13804.5119,-661.4583333,-1370.821429,2.350979592,14627.47619,-4.306122449,-18.86394558
2/16/2012,0,0,0,68.86423492,0.834208739,28.333,13849.85714,-157,-260.1428571,28.17152381,13827.94643,-588.4880952,-1155.244048,2.407387755,14637.87755,-5.782312925,-17.65986395
2/23/2012,0,0,0,64.81780243,0.224353023,28.33135714,13889.78571,-172.9285714,-233.2142857,28.51399405,13932.33929,-598.2142857,-1186.744048,2.455020408,14644.85714,-9.972789116,-39.14285714
3/1/2012,0,0,0,63.29636765,0.568930325,28.39971429,14004.42857,-217.1428571,-341.5,28.26132738,13797.48214,-727.047619,-1253.910714,2.427258503,14649.70068,-2.244897959,-29.57142857
3/8/2012,0,0,0,70.48209381,0.50724061,28.26021429,14025.42857,-235.5,-329.9285714,28.2129881,13956.34524,-656,-1109.892857,2.300897959,14639.20408,-6.707482993,-68.36054422
3/15/2012,0,0,0,67.49996185,0.03012194,28.64192857,14079,-155.8571429,-273.5714286,28.55628571,14032.375,-540.5892857,-1068.946429,2.358585034,14652.19728,-19.56462585,-37.75510204
3/22/2012,0,0,0,92.44281769,0.212287802,28.24171429,14062.78571,-82.57142857,-206.9285714,28.20728571,14049.69048,-520.452381,-871.3928571,2.331435374,14652.87755,-5.619047619,-34.92517007
