"","date","Location","Variable","Value"
"1","2021-07-02","atmo","cloud","53.4776796340942"
"2","2021-07-02","atmo","rain","0.168816199712455"
"3","2013-08-04","atmo","cloud","80.53620262146"
"4","2013-08-04","atmo","rain","0.760651196539402"
"5","2016-06-22","atmo","cloud","57.9297756195068"
"6","2016-06-22","atmo","rain","0.48937318623066"
"7","2019-06-04","atmo","cloud","44.3435417175293"
"8","2019-06-04","atmo","rain","0.210410438477993"
"9","2019-07-26","atmo","cloud","73.1533632278442"
"10","2019-07-26","atmo","rain","0.284162555076182"
"11","2012-03-20","atmo","cloud","69.8003204345703"
"12","2012-03-20","atmo","rain","0.279398225992918"
"13","2015-10-07","atmo","cloud","64.0220958709717"
"14","2015-10-07","atmo","rain","0.58662670403719"
"15","2019-05-14","atmo","cloud","50.8278255462646"
"16","2019-05-14","atmo","rain","0.185380317736417"
"17","2018-01-11","atmo","cloud","71.6114055633545"
"18","2018-01-11","atmo","rain","0.103236456192099"
"19","2013-02-08","atmo","cloud","60.2729850769043"
"20","2013-02-08","atmo","rain","0.0589623469684739"
"21","2013-04-14","atmo","cloud","38.7681589126587"
"22","2013-04-14","atmo","rain","0.0455597559222952"
"23","2016-03-24","atmo","cloud","25.9558469772339"
"24","2016-03-24","atmo","rain","0.000801707833124965"
"25","2016-08-09","atmo","cloud","65.6381702423096"
"26","2016-08-09","atmo","rain","0.367841261252761"
"27","2015-10-17","atmo","cloud","58.7629890441895"
"28","2015-10-17","atmo","rain","0.41794200502336"
"29","2013-10-30","atmo","cloud","72.899070930481"
"30","2013-10-30","atmo","rain","0.101049590529874"
"31","2016-11-21","atmo","cloud","61.680665397644"
"32","2016-11-21","atmo","rain","0.500288157537579"
"33","2016-12-23","atmo","cloud","78.3551330566406"
"34","2016-12-23","atmo","rain","0.452672562561929"
"35","2014-03-21","atmo","cloud","53.4872787475586"
"36","2014-03-21","atmo","rain","0.12505137459666"
"37","2017-12-28","atmo","cloud","73.1315814971924"
"38","2017-12-28","atmo","rain","0.362615470401943"
"39","2015-03-04","atmo","cloud","38.6658433914185"
"40","2015-03-04","atmo","rain","0.0129393173352582"
"41","2016-04-18","atmo","cloud","46.8267427444458"
"42","2016-04-18","atmo","rain","0.0734389945864677"
"43","2014-10-05","atmo","cloud","68.0204921722412"
"44","2014-10-05","atmo","rain","0.149146409984678"
"45","2021-04-22","atmo","cloud","70.8401794433594"
"46","2021-04-22","atmo","rain","0.743460548622534"
"47","2013-09-13","atmo","cloud","60.1581672668457"
"48","2013-09-13","atmo","rain","0.436192318797112"
"49","2018-01-01","atmo","cloud","77.5989040374756"
"50","2018-01-01","atmo","rain","0.284182097762823"
"51","2018-07-03","atmo","cloud","68.208186340332"
"52","2018-07-03","atmo","rain","0.169635583646595"
"53","2013-09-10","atmo","cloud","44.6319144248962"
"54","2013-09-10","atmo","rain","0.359657665342093"
"55","2018-02-20","atmo","cloud","52.2415830612183"
"56","2018-02-20","atmo","rain","0.495238454267383"
"57","2018-04-01","atmo","cloud","56.9140773773193"
"58","2018-04-01","atmo","rain","0.0778086509555578"
"59","2012-08-02","atmo","cloud","92.8488872528076"
"60","2012-08-02","atmo","rain","0.733640183508396"
"61","2016-03-23","atmo","cloud","26.906739616394"
"62","2016-03-23","atmo","rain","0.000807172520762833"
"63","2016-06-10","atmo","cloud","57.4345960617065"
"64","2016-06-10","atmo","rain","0.197964096069336"
"65","2014-04-07","atmo","cloud","22.3685228347778"
"66","2014-04-07","atmo","rain","0.00483991380388034"
"67","2019-02-03","atmo","cloud","69.1903209686279"
"68","2019-02-03","atmo","rain","0.0161493069375865"
"69","2012-03-21","atmo","cloud","72.5810321807861"
"70","2012-03-21","atmo","rain","0.353966644778848"
"71","2020-03-23","atmo","cloud","27.4685394287109"
"72","2020-03-23","atmo","rain","0.00859374042223635"
"73","2013-12-24","atmo","cloud","64.0762001037598"
"74","2013-12-24","atmo","rain","0.315974311716855"
"75","2017-10-11","atmo","cloud","51.666220664978"
"76","2017-10-11","atmo","rain","0.230601236270741"
"77","2014-03-01","atmo","cloud","57.0287048339844"
"78","2014-03-01","atmo","rain","0.019019874103833"
"79","2013-03-14","atmo","cloud","62.8462020874023"
"80","2013-03-14","atmo","rain","0.170607791724615"
"81","2012-05-10","atmo","cloud","25.0797654151917"
"82","2012-05-10","atmo","rain","0.115122548257932"
"83","2015-04-08","atmo","cloud","35.2438896179199"
"84","2015-04-08","atmo","rain","0.0573930101687438"
"85","2012-12-10","atmo","cloud","44.6970959663391"
"86","2012-12-10","atmo","rain","0.373518235236406"
